"Rating","Reviews","Size","Installs","Price"
4.4,21777,20.53,1000000,0
4.3,348,38,100000,0
3.2,250,1.1,100000,0
4.6,13372,20.53,1000000,0
4.6,7880,20.53,100000,0
4.5,3617,7.9,100000,0
3.7,4806,35,1000000,0
4.6,65786,20.53,1000000,0
4.6,31433,17,1000000,0
4.6,5097,19,1000000,0
4,1754,14,500000,0
4.4,2680,2.2,500000,0
4,1288,4.5,100000,0
4.7,18900,17,500000,0
4.7,1150,9.8,100000,0
3.9,1739,21,500000,0
4.2,2225,52,500000,0
4.6,4369,14,100000,0
4.3,8572,25,1000000,0
4.7,964,9,50000,0
4.7,42050,20.53,1000000,0
4.8,104,12,10000,0
4.3,601,35,100000,0
4.5,36,6.7,10000,0
4.1,187,30,50000,0
4.2,30,2.9,10000,0
4.5,134,17,10000,0
4.4,74,2.9,10000,0
4.1,3595,20.53,500000,0
4.6,38,7.1,10000,0
4.5,26834,57,1000000,0
4.17581188356988,119,3.7,50000,0
3.9,2277,22,500000,0
4.4,2280,24,500000,0
4.17581188356988,654,7.4,100000,0
4.6,184,21,10000,0
3.8,9,3.4,5000,0
4,364,6.4,100000,0
4.3,18,3.2,5000,0
4.17581188356988,30,9.9,10000,0
4.1,66,2.9,10000,0
3.7,3871,23,1000000,0
4.2,62,3.1,10000,0
4.5,1857,4.9,50000,0
4.4,577550,20.53,10000000,0
4.5,454060,20.53,10000000,0
4.5,155446,20.53,10000000,0
4.5,418,4.2,100000,0
4.4,22486,5.4,1000000,0
4.5,203130,20.53,10000000,0
4.6,1435,2.8,500000,0
4.8,116507,5,1000000,0
4.6,90468,5.9,5000000,0
4.2,860,13,100000,0
4.1,363934,7.1,10000000,0
4.7,967,6.7,500000,0
4.2,87873,20.53,10000000,0
4.3,17506,17,1000000,0
3.3,1862,19,1000000,0
4.6,2084,6.7,500000,0
4.8,47303,21,1000000,0
4.7,19080,20.53,500000,0
4.17581188356988,161,2.7,10000,0
4.1,85842,37,5000000,0
4.6,7831,15,100000,0
4.1,91615,23,5000000,0
4.7,21336,23,1000000,0
4.5,26875,73,500000,0
4.4,2709,6.8,1000000,0
4.3,64513,20.53,5000000,0
4.5,527,2.9,100000,0
4.4,1322,3.5,100000,0
4.9,2739,21,50000,0
4.6,1065,2.3,500000,0
4.4,233757,20.53,10000000,0
4.17581188356988,2,7.2,50000,0
4.4,8788,10,1000000,0
4.4,51269,6.1,1000000,0
4.4,30105,2.1,1000000,0
3.5,156,42,500000,0
4.4,341157,30,10000000,0
4.1,16129,20.53,10000000,0
4.4,1254730,20.53,10000000,0
4.3,85185,29,5000000,0
4.3,32584,20.53,1000000,0
4.4,70991,20.53,5000000,0
3.9,16589,9.1,1000000,0
4.8,148945,25,1000000,0
4.5,4458,3.9,500000,0
4.4,62272,18,10000000,0
4,8941,12,5000000,0
4.2,88073,20.53,10000000,0
4.5,67000,20.53,1000000,0
4.2,159872,20.53,10000000,0
4.2,30847,55,5000000,0
4.6,188841,3.2,5000000,0
4.1,11622,20.53,5000000,0
4.6,95912,20.53,5000000,0
3.9,45964,16,1000000,0
4.3,14955,20.53,1000000,0
4.1,6903,14,1000000,0
4.4,31614,37,10000000,0
4.1,23055,20.53,5000000,0
4.1,19023,20.53,1000000,0
4.5,207372,11,5000000,0
4.4,1225,25,100000,0
4.4,380837,7.3,10000000,0
4.3,10600,6.5,1000000,0
4.4,74359,25,1000000,0
4.6,822,3.1,100000,0
4.2,80805,20.53,5000000,0
4.4,2287,1.5,1000000,0
4.7,4162,7.5,100000,0
3.9,23243,20.53,5000000,0
4.17581188356988,9,1.2,100000,0
4.3,8978,20.53,1000000,0
4.4,42492,20.53,1000000,0
4.5,103755,14,10000000,0
4.2,46505,19,1000000,0
4.7,11442,6.8,100000,4.99
4.2,296,14,50000,0
4.3,29313,20,5000000,0
4.4,51507,20.53,5000000,0
4.1,1802,26,100000,0
3.8,1383,51,100000,0
4.3,23175,41,1000000,0
3.8,5868,20,500000,0
3.5,2111,20.53,100000,0
4.1,5448,12,500000,0
4.6,4159,48,500000,0
4.3,20815,10,1000000,0
4.5,78662,22,1000000,0
4.1,7149,11,1000000,0
4.5,3079,8.5,100000,0
4.6,5800,8.6,100000,0
4,6989,20.53,1000000,0
4.2,16422,28,1000000,0
4.4,108741,28,10000000,0
4,624,9,100000,0
4.2,1661,46,100000,0
4.2,97702,20.53,5000000,0
4.1,308,14,50000,0
3.8,5211,26,1000000,0
3.9,1058,23,500000,0
3.9,78172,20.53,10000000,0
4.5,413,29,10000,0
4.5,1013635,20.53,10000000,0
4.6,24005,4.9,500000,0
4.7,57106,27,1000000,0
4.8,516,12,50000,0
3.9,834,15,50000,0
4.1,1010,11,50000,0
4.4,238970,28,1000000,0
4.6,302,2.2,10000,0
4.7,73,8.3,10000,0
4.4,39,4.3,10000,0
4.5,144,4.7,10000,0
3.9,2181,10,100000,0
3.2,93965,15,5000000,0
3.2,1446,7.1,100000,0
4.1,12088,21,1000000,0
4.5,314,6.1,100000,0
4.2,25671,20.53,1000000,0
4.2,15194,15,1000000,0
3.7,22551,11,1000000,0
4.5,29839,29,1000000,0
4.5,564387,20.53,5000000,0
4.17581188356988,1330,22,50000,0
4.7,1677,40,100000,0
4.4,757,10,10000,0
3.5,115,9.1,10000,0
3.3,125,4.7,5000,0
4.5,9952,38,500000,0
4.4,18814,20.53,1000000,0
4.2,21,6.7,5000,0
5,15,37,1000,0
4.4,51981,20.53,5000000,0
4.7,3596,7.8,10000,0
4.4,1006,19,50000,0
4.4,5968,5.7,1000000,0
4.6,4895,35,100000,0
4.3,125257,17,10000000,0
4.3,158679,8.8,5000000,0
4.3,30209,15,5000000,0
4,36901,6.6,5000000,0
4.3,192948,6.6,10000000,0
3.7,99559,20.53,10000000,0
4.5,437674,20.53,10000000,0
3.9,13698,5.1,10000000,0
3.6,20769,18,1000000,0
4.4,36880,4,1000000,0
4.2,171031,20.53,10000000,0
4.4,63543,20.53,5000000,0
4.4,615381,37,10000000,0
4.2,33053,22,5000000,0
4.4,136662,32,10000000,0
3.9,42370,37,1000000,0
4.3,541389,20.53,10000000,0
4.3,46702,20.53,1000000,0
4.4,2939,17,100000,0
3.7,13761,20.53,10000000,0
4.3,258556,20.53,10000000,0
3.7,25021,61,5000000,0
4.3,27187,66,5000000,0
4.1,132014,25,10000000,0
4.2,83239,14,5000000,0
4.1,28238,17,1000000,0
4.3,335646,8.3,10000000,0
4.3,350154,20.53,10000000,0
4.5,349384,8.2,10000000,0
4.3,346982,20.53,10000000,0
4.2,244863,20.53,10000000,0
4.5,330761,20.53,10000000,0
4.3,37320,8.4,1000000,0
4.2,15880,32,1000000,0
4.1,13100,2.2,1000000,0
4.2,27156,20.53,1000000,0
4.1,55098,4.3,1000000,0
4,18247,20.53,100000,3.99
4.2,190613,11,10000000,0
4.3,72065,13,1000000,0
4.4,27540,3.7,1000000,0
4.2,104990,10,5000000,0
4.4,177703,13,10000000,0
4.1,17529,10,1000000,0
4.2,177263,13,10000000,0
4.8,237468,8.8,1000000,0
4.4,483565,20,10000000,0
4.4,552441,29,10000000,0
4,60308,20.53,5000000,0
4.5,457283,20.53,10000000,0
4.4,93825,11,5000000,0
4.1,32283,20.53,1000000,0
4.2,15287,17,1000000,0
4.5,205739,17,5000000,0
4.3,14873,20.53,1000000,0
4.2,88427,5.1,5000000,0
4.5,305218,20.53,10000000,0
4.6,183374,44,1000000,0
4.1,20901,7.3,1000000,0
4,122595,30,1000000,0
4.3,41420,19,5000000,0
4.2,44706,20.53,1000000,0
4.6,191032,26,5000000,0
4.2,1545,20.53,10000,3.99
4,516801,20.53,10000000,0
4.1,285726,15,10000000,0
3.7,76646,20.53,10000000,0
4.1,2556,56,100000,0
4.2,7779,12,500000,0
4.5,61637,11,5000000,0
4.4,12632,29,1000000,0
4.2,313724,20.53,10000000,0
4,48845,40,1000000,0
4.1,305708,20.53,10000000,0
3.1,31320,53,5000000,0
4.4,172460,3.1,5000000,0
4.2,4195,24,100000,0
4.1,11633,23,500000,0
3.9,10212,5,1000000,0
4.3,37053,44,1000000,0
4.4,667,27,10000,0
3.5,13202,6.1,1000000,0
4,28671,20.53,1000000,0
4.5,212626,11,10000000,0
4.4,222888,21,1000000,0
4.1,2067,24,100000,0
3.9,1643,31,500000,0
3.9,105,27,5000,0
3.6,3414,6.2,500000,0
4,42194,20.53,5000000,0
3.6,11806,12,1000000,0
4.2,22544,5.9,1000000,0
4.1,97684,7.9,1000000,0
3.4,2519,5,100000,0
4.6,13046,13,500000,0
4.1,17268,40,500000,0
3.9,8722,13,500000,0
1.9,953,19,100000,0
3.5,2593,5,500000,0
2.5,5377,19,500000,0
3.9,852,27,100000,0
3.4,212,3,50000,0
3.5,1972,13,1000000,0
4.4,35206,7.2,1000000,0
3.8,5164,25,100000,0
4.2,40035,6.5,1000000,0
4.3,135418,20.53,10000000,0
4.1,2212,41,100000,0
4.2,57081,7.9,1000000,0
3.5,241,2.8,50000,0
4.2,63986,20,5000000,0
4.4,7888,15,500000,0
4.1,535,28,100000,0
4.2,5084,9.6,100000,0
4.3,2430,13,500000,0
3,837,9.4,100000,0
4,738,27,10000,0
3.3,4631,45,100000,0
4.1,4953,15,1000000,0
3.7,1439,38,50000,0
4,337,32,10000,0
4,51698,63,1000000,0
4.1,923,44,100000,0
3.3,149,16,10000,0
4.4,198,28,10000,0
4.3,23170,9,500000,0
3.4,13890,20,500000,0
4,13440,49,500000,0
3.6,143,27,10000,0
4.2,1059,18,100000,0
3.5,894,14,100000,0
4,6191,27,500000,0
4.1,15081,38,1000000,0
4.4,218,27,10000,0
4.2,243950,21,10000000,0
4.1,236,8.8,10000,0
4.2,5152,38,100000,0
3.9,1576,20.53,10000,0
4.1,6701,11,1000000,0
3.9,742,26,50000,0
4,187,19,10000,0
4.5,182986,77,5000000,0
3.9,8661,9.5,1000000,0
3.6,8,14,1000,0
4.4,59,38,5000,0
3.5,35,16,1000,0
4.4,28,3.4,500,0
4.8,125,4.7,5000,0
4.6,185,5,10000,0
4.8,110,4.9,10000,0
4.17581188356988,3,16,1000,0
5,5,4.4,1000,0
4.17581188356988,3,4.8,1000,0
4.8,84,4.5,1000,0
4.8,20,4.9,500,0
4.17581188356988,2,3.7,500,0
4.9,776,4.9,5000,0
4.7,14,21,5000,0
4.17581188356988,1,8.7,500,0
4.17581188356988,3,6.9,500,0
4.17581188356988,0,39,500,0
4.17581188356988,24,3.9,1000,0
5,5,9.3,500,0
4.7,18,5,500,0
3,1,5.5,500,0
4.1,11,11,1000,0
4.17581188356988,4,3.8,500,0
4.17581188356988,104,12,1000,0
3.7,101,15,10000,0
4.5,120,10,500,0
4.2,24,4.9,1000,0
4.17581188356988,21,4.7,1000,0
4.4,41605,8.1,500000,0
3.4,5,14,500,0
4.7,791,3.7,10000,0
4.8,5323,3.5,50000,0
4.7,478,4.5,10000,0
3.5,69,36,5000,0
4.7,158,4.5,10000,0
3.8,24,19,1000,0
2.9,53,14,10000,0
4.17581188356988,8,9.3,5000,0
4.6,181893,18,10000000,0
4.6,85375,21,5000000,0
4.7,314299,3.3,10000000,0
4.17581188356988,776,24,100000,0
4.5,9770,39,5000000,0
4.8,4075,5.1,500000,0
4.6,10611,11,500000,0
4.6,9321,27,1000000,0
4.6,56065,37,1000000,0
4.2,14286,20.53,5000000,0
4.9,133136,26,1000000,0
3.8,2469,11,500000,0
4.2,36212,20.53,5000000,0
4.4,390,41,500000,0
4.4,1090,49,1000000,0
4.3,266948,21,10000000,0
4.5,342918,8.1,10000000,0
4.6,172640,14,5000000,0
3.9,61,18,50000,0
4.4,1619,3,1000000,0
4.4,29855,20.53,1000000,0
4,889,7.4,500000,0
4.2,5741,84,1000000,0
4.7,9888,20.53,500000,0
4.3,1516,3.9,100000,0
4.2,215301,20.53,10000000,0
4.3,423,21,100000,0
4.7,254519,27,5000000,0
4.7,1107903,20.53,10000000,0
4.6,211856,20.53,10000000,0
4.5,99020,18,1000000,0
4.4,90481,20.53,5000000,0
4.6,32381,10,1000000,0
4.5,248912,20.53,5000000,0
4.5,248555,20.53,5000000,0
4.4,272145,20.53,10000000,0
4.2,8599,17,1000000,0
4.5,41185,20.53,1000000,0
4.3,22384,17,1000000,0
4.1,12733,20.53,1000000,0
4.3,55704,15,1000000,0
4.6,13612,48,100000,0
4.6,37862,5.4,1000000,0
4.6,18372,47,100000,0
4.5,13791,20.53,500000,0
4.4,1769,20.53,100000,0
4.5,756,12,100000,0
4.4,3963,20.53,100000,0
4.2,642,20.53,50000,0
4.3,1058,20.53,100000,0
4.5,172505,76,5000000,0
4.2,69493,20.53,10000000,0
4.6,7973,18,1000000,0
4.7,142632,6.9,5000000,0
4.4,55256,14,5000000,0
4.4,54798,11,1000000,0
4,4815,19,500000,0
4.4,33646,7,1000000,0
4.3,206527,21,10000000,0
4,28392,20.53,1000000,0
4.2,3241,16,100000,0
4.1,200058,18,10000000,0
4.5,108613,20.53,10000000,0
4.4,148550,59,10000000,0
4.4,84309,41,5000000,0
4.5,14206,21,500000,0
4.3,14700,21,1000000,0
4.5,42828,20.53,1000000,0
4.2,40209,20.53,1000000,0
3.5,1405,7.3,100000,0
4.8,256079,7.6,1000000,0
4.1,16103,13,1000000,0
4.7,31085,24,500000,3.99
4.7,3528,24,100000,3.99
4,11656,4.5,1000000,0
4.2,28948,20.53,1000000,0
4.3,296771,11,10000000,0
4.2,98509,20.53,5000000,0
3.1,5241,20.53,5000000,0
4.2,10291,6.5,5000000,0
4.1,141980,20.53,5000000,0
3.8,6979,12,1000000,0
3.4,46618,20.53,5000000,0
4.3,103078,5.6,5000000,0
4.4,17682,9.7,1000000,0
4.4,37000,15,1000000,0
4,175528,20.53,10000000,0
3.9,34923,20.53,5000000,0
4.5,684116,20.53,10000000,0
4.4,46916,4.5,1000000,0
4.3,407698,20.53,10000000,0
4.2,32458,18,5000000,0
4.5,235496,13,10000000,0
4.7,11661,4,1000000,0
4.5,653008,16,10000000,0
4.5,23063,17,1000000,0
4.3,8918,20.53,1000000,0
4.1,29690,78,1000000,0
4.2,130549,20.53,5000000,0
4.4,42050,20.53,1000000,0
3.9,2646,9.1,100000,0
4.1,21867,39,1000000,0
4.3,32732,20.53,1000000,0
4.6,243747,20.53,10000000,0
3.6,2639,8.5,100000,0
4.3,1511,12,100000,0
4.3,44550,72,1000000,0
4.1,7813,20.53,500000,0
4.1,1033,16,100000,0
4.2,2442,9.6,100000,0
3.9,15254,20.53,1000000,0
4.2,155234,22,1000000,0
3.7,310066,20.53,10000000,0
4.5,12216,13,1000000,0
3.7,388089,20.53,10000000,0
3.8,92058,12,10000000,0
4.3,88185,20.53,10000000,0
3,493,23,50000,0
4.1,33387,20,1000000,0
4.2,123279,25,10000000,0
4.1,27424,17,1000000,0
3.9,60841,20.53,5000000,0
4,29706,19,1000000,0
4.4,288150,21,5000000,0
4.2,14807,19,1000000,0
4,319692,20.53,10000000,0
3.9,61201,20.53,10000000,0
4,22998,20.53,1000000,0
4.2,12398,20.53,1000000,0
4,35928,19,1000000,0
4.3,64448,4.4,1000000,0
3.9,22378,19,1000000,0
4.5,16372,13,500000,0
4.1,58028,17,5000000,0
4.5,736864,20,10000000,0
3.6,1968,21,500000,0
3.8,35279,15,1000000,0
3.7,17247,7.2,1000000,0
3.8,87723,32,10000000,0
3.7,18523,20.53,1000000,0
4.1,182103,20.53,10000000,0
3.7,197774,44,10000000,0
3.9,8674,19,1000000,0
3.9,58082,20.53,10000000,0
3.9,27424,20.53,1000000,0
4.1,115033,30,10000000,0
3.9,801,57,100000,0
4.2,8968,35,1000000,0
4.6,732,20.53,100000,0
4.3,1856,20,100000,0
4.6,50725,19,5000000,0
4.5,1575,43,100000,0
4.6,6238,20.53,100000,4.99
4.2,23666,3.6,1000000,0
4.3,160164,12,10000000,0
4.6,3771,53,100000,2.99
4.3,256664,77,10000000,0
4.5,787177,20.53,10000000,0
4,3782,9.5,100000,0
4,40113,36,5000000,0
4.5,7074,6.3,500000,0
4,26089,20.53,5000000,0
4,20611,12,1000000,0
4.2,811,2.8,10000,0
4.4,15558,26,1000000,0
4.6,573,8.7,100000,0
4.6,8232,53,1000000,0
4.1,3089,20.53,100000,0
4.6,3874,14,100000,0
4.9,69,0.33,1000,0
4.5,8800,24,1000000,0
4.6,99,13,10000,0
4.7,30,20.53,500,0
4.3,456,2.8,50000,0
4.2,3200,20.53,100000,0
5,4,61,500,0
4.5,1065,9,100000,0
4.17581188356988,13,27,1000,0
4.17581188356988,46,3.6,5000,0
4.5,1953,20.53,100000,0
4.8,12,29,1000,0
4.17581188356988,49,13,1000,0
4.17581188356988,11,11,5000,0
4.1,399,24,100000,0
4.8,28,6.3,1000,0
4.17581188356988,250,23,1000,0
4.4,124424,20.53,10000000,0
4.4,39041,20.53,1000000,0
3.6,52306,42,5000000,0
3.7,36718,20.53,5000000,0
3.8,42644,19,5000000,0
4.2,278082,70,10000000,0
4.2,6076,32,500000,0
4.2,112656,93,5000000,0
3.3,335738,20.53,10000000,0
3.4,31906,20.53,1000000,0
4.3,20672,20.53,1000000,0
4.2,957973,40,10000000,0
4.7,130582,24,5000000,0
4.1,31218,20.53,1000000,0
4.7,167168,20,1000000,0
4,34428,15,10000000,0
3.6,15247,28,1000000,0
4,48445,10,5000000,0
3.6,35518,20.53,1000000,0
4.3,12185,20.53,1000000,0
4.2,36746,20.53,5000000,0
4.2,21996,14,1000000,0
4.1,138371,20.53,5000000,0
4,12073,42,1000000,0
4.1,111632,65,1000000,0
4.4,250706,37,10000000,0
4.7,706301,20.53,10000000,0
4.5,64959,39,1000000,0
4.6,510392,79,10000000,0
4.3,7215,18,1000000,0
4,25508,20.53,1000000,0
4.5,60449,100,1000000,0
4.5,381788,32,10000000,0
3.6,10697,46,1000000,0
4.1,31804,9.8,5000000,0
3.5,3856,8.2,1000000,0
4.4,199684,18,5000000,0
4,44545,20.53,1000000,0
4.5,1336246,39,10000000,0
4.2,257,44,10000,0
4.6,57493,20.53,1000000,0
4.2,283,5,100000,0
4.8,12304,21,100000,0
4.5,8188,22,100000,0
4.2,11919,23,1000000,0
4.3,45957,20.53,1000000,0
4.4,126431,20.53,1000000,0
4.4,21570,27,1000000,0
4.6,134564,20.53,5000000,0
4.6,16961,32,500000,0
4.6,111254,7.4,1000000,0
4.4,7731,24,100000,0
4.3,5928,22,500000,0
4.2,15703,20.53,1000000,0
4.2,6148,10,1000000,0
3.8,861,17,100000,0
4.5,8662,38,100000,0
4.6,23130,46,1000000,0
4.6,69973,3.8,1000000,0
4.7,1311,9.3,50000,0
4.6,26587,8.4,1000000,0
4.6,2417,28,100000,0
3.8,1054,9.7,100000,0
4.3,25166,11,1000000,0
4.3,129304,20.53,5000000,0
4.5,19870,7.4,1000000,0
4.6,3596,19,100000,0
4.6,161440,16,1000000,0
4.7,7514,14,100000,0
4.5,46106,22,1000000,0
4.4,15141,25,1000000,0
4.5,42410,20.53,1000000,0
4.6,260547,20.53,5000000,0
4.1,4344,4.5,500000,0
4.5,22808,20.53,1000000,0
4.4,42809,23,1000000,0
4.5,16808,20.53,1000000,0
4.6,157505,20.53,5000000,0
4.2,24647,20.53,1000000,0
4.4,1922,4.2,100000,0
4.1,3334,20.53,500000,0
3.9,10658,58,1000000,0
4.5,78361,22,1000000,0
3.7,2594,20.53,500000,0
4.4,135952,20.53,5000000,0
4.6,11066,9.1,500000,0
4.3,34861,20.53,1000000,0
4.3,37580,20.53,5000000,0
4.4,281485,20.53,5000000,0
4.3,685,21,50000,0
4.4,3780,11,100000,0
4.1,15192,38,1000000,0
4.4,5950,12,500000,0
4.2,15993,45,1000000,0
4.3,5905,50,500000,0
4.3,14627,23,1000000,0
3.9,1098,46,100000,0
4.1,2898,45,100000,0
4.1,70782,50,1000000,0
4.2,11264,24,1000000,0
4.5,100997,33,5000000,0
4.7,3290,12,50000,0
4.4,341090,53,10000000,0
4.6,964,14,10000,0
4.6,87951,68,5000000,0
4.3,24729,32,1000000,0
4,78306,46,5000000,0
4.4,43313,40,1000000,0
4.6,1374549,32,10000000,0
4.2,208463,20.53,10000000,0
4.1,6998,24,1000000,0
3.6,145323,42,10000000,0
4.17581188356988,95,12,50000,0
4.1,64784,13,10000000,0
4.6,32997,13,1000000,0
4.17581188356988,82,4.9,10000,0
4.7,2707,8.9,100000,0
4.7,129737,20.53,1000000,0
4.7,611136,19,10000000,0
4.7,6118,20.53,1000000,0
4.1,2473,14,500000,0
3.4,109784,64,10000000,0
3.8,3320,8.4,500000,0
3.7,61,11,50000,0
4.2,68103,66,1000000,0
3.1,8412,20.53,1000000,0
3.5,10741,41,1000000,0
4.7,3803,15,500000,0
4.5,155944,35,5000000,0
4.2,10159,36,1000000,0
4.3,28008,17,5000000,0
4.5,455377,35,10000000,0
4.6,1398,10,100000,0
4.7,1032935,20.53,10000000,0
4.1,32405,12,5000000,0
4.3,151080,20.53,5000000,0
3.8,22513,11,1000000,0
4.4,90042,20.53,10000000,0
4.3,58316,20.53,5000000,0
4.2,8509,17,1000000,0
4.3,19314,43,1000000,0
3.8,21314,41,1000000,0
4.3,30224,20.53,1000000,0
3.7,731,43,100000,0
4.5,454,16,100000,0
3.6,14952,39,1000000,0
4.8,1250,13,50000,0
3.3,1726,30,500000,0
4.7,14065,7.1,500000,0
4.6,556,23,100000,0
4.6,4925,17,1000000,0
3.4,6507,18,1000000,0
4.6,11707,20.53,100000,0
4.1,46539,20.53,5000000,0
4.5,9066,15,500000,0
4.4,1962,22,100000,0
4.5,22071,20.53,1000000,0
4.1,278,7.2,50000,0
4.5,61881,20.53,5000000,0
4.6,2129,20.53,10000,3.49
4.1,1268,2.3,50000,4.99
4.5,91359,27,1000000,0
4.6,22015,20.53,1000000,0
4.5,131569,8.2,10000000,0
3.6,22875,22,1000000,0
4.4,17071,20.53,1000000,0
4.6,90242,19,5000000,0
4.1,483960,20.53,10000000,0
4.3,511228,20.53,10000000,0
3.9,464,28,50000,0
4.1,1920,20.53,100000,0
4.3,40116,20.53,1000000,0
4.7,51517,20.53,1000000,0
4.6,7690,25,100000,0
4.4,321134,30,10000000,0
4.2,3755,8.5,100000,0
4.5,104504,20.53,1000000,0
4.2,333208,34,10000000,0
4.5,35218,34,1000000,0
4.5,116403,20.53,5000000,0
4.3,37517,17,5000000,0
4,292969,16,10000000,0
4.8,428156,15,10000000,0
4.9,38098,11,5000000,0
4.8,31139,6.9,1000000,0
4.9,272337,13,10000000,0
4.8,220125,11,10000000,0
4.4,400592,2.9,10000000,0
3.3,20098,25,10000000,0
4.7,117925,7,10000000,0
4.6,548021,27,10000000,0
4.8,48276,7.5,1000000,0
4.8,471036,20.53,10000000,0
4.8,12705,15,1000000,0
4.5,706,9.4,100000,0
4.4,465,6.4,500000,0
4.5,644,5.5,100000,0
4.5,6238,3.9,500000,0
4.5,144040,55,5000000,0
4.8,51227,28,1000000,0
3.9,357417,20.53,10000000,0
4.6,199,8.8,50000,0
4.5,827597,20.53,10000000,0
4.5,9116,4,500000,0
4.7,2071,6.9,100000,0
4.7,50294,11,1000000,0
4.4,708674,20.53,10000000,0
3.9,232153,20.53,10000000,0
4.2,14709,15,5000000,0
4.4,12029,4.3,1000000,0
4.6,2880,7.1,100000,0
4.2,270267,58,5000000,0
4.5,559186,20.53,10000000,0
4.7,77777,20.53,1000000,0
4.5,8642,18,100000,0
4.5,501144,20.53,10000000,0
3.7,1861,1.5,1000000,0
4.6,299,11,100000,0
4.6,115721,67,10000000,0
4.7,14810,20.53,1000000,0
4.5,183662,57,5000000,0
4.5,27393,59,1000000,0
4.6,10445,48,500000,0
4,49479,57,1000000,0
4.3,4848,13,1000000,0
4.4,20812,20.53,1000000,0
4.5,328469,20.53,10000000,0
4.2,100406,20.53,10000000,0
4.6,205299,31,5000000,0
4.9,66791,10,1000000,0
4.5,399009,20.53,10000000,0
4.6,5420,21,500000,0
4.5,130104,25,10000000,0
4.6,251534,93,10000000,0
4.6,28951,60,1000000,0
4.5,60096,27,5000000,0
4.5,106547,54,1000000,0
4.4,134195,20.53,10000000,0
3.9,249855,20.53,10000000,0
4.6,109756,78,5000000,0
4.4,38343,55,1000000,0
4.5,190247,20.53,5000000,0
4.5,75571,20.53,1000000,0
4.4,70769,35,5000000,0
4.5,19074,4.2,1000000,0
4.5,7976,44,500000,0
4.4,7586,45,500000,0
4.6,48226,28,1000000,0
4.6,1026,29,10000,3.99
4.9,28945,12,500000,0
4.4,11506,15,100000,0
4.3,1288,31,100000,0
4.1,6826,20.53,1000000,0
4.6,111450,20.53,5000000,0
4.8,19543,20.53,100000,2.99
4.5,233243,20.53,5000000,0
4.7,11689,20,500000,0
4.6,77563,39,10000000,0
4.3,5499,94,100000,0
4.6,48286,20.53,1000000,0
4.3,26652,41,1000000,0
4.6,71269,49,1000000,0
4.6,20301,22,1000000,0
4.5,93691,20.53,5000000,0
4.6,56145,23,1000000,0
4.6,20326,28,1000000,0
4.5,12955,7.2,1000000,0
4.1,2681,6.5,500000,0
4.5,325738,20.53,10000000,0
4.6,4102,24,500000,0
4.5,40296,20.53,1000000,0
4.8,570242,20,10000000,0
4.5,121838,15,5000000,0
4.1,62616,20.53,5000000,0
4.4,12858,55,500000,0
4.2,34356,20.53,1000000,0
4.5,50679,38,1000000,0
4.3,16943,32,1000000,0
4.6,524299,20.53,10000000,0
4,267,20.53,50000,0
4.6,117176,20.53,5000000,0
4.4,70416,23,5000000,0
4.7,15674,6.1,1000000,0
4.4,14402,20.53,1000000,0
4.4,141163,20.53,10000000,0
4.4,69395,20.53,10000000,0
4.5,27439,19,1000000,0
4.6,24094,18,1000000,0
